Product ID,County Retailer,Quarter,Retailer Supplier Name,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Adjusted Price,Competitor Price in Market,Discount,Holiday/Promotion,Restock Needed,Reorder Qty
Aarya Organic Blend 1,"Bradford, West Yorkshire",2023Q3,"OliveBox - Bradford, West Yorkshire",267.1666667,152.4444444,113.5,160.1722222,59.3,53.00666667,11.38888889,0.6666666667,False,0.0
Aarya Organic Blend 1,"Bradford, West Yorkshire",2023Q3,"TastyHarvest - Bradford, West Yorkshire",267.1666667,152.4444444,113.5,160.1722222,60.73,53.00666667,11.38888889,0.6666666667,False,0.0
Aarya Organic Blend 1,"Bradford, West Yorkshire",2023Q3,"FineFoods - Bradford, West Yorkshire",267.1666667,152.4444444,113.5,160.1722222,59.73,53.00666667,11.38888889,0.6666666667,False,0.0
Aarya Organic Blend 1,"Bradford, West Yorkshire",2023Q3,"EVOO Market - Bradford, West Yorkshire",267.1666667,152.4444444,113.5,160.1722222,59.14,53.00666667,11.38888889,0.6666666667,False,0.0
Aarya Organic Blend 1,"Burnley, Lancashire",2023Q3,"FineFoods - Burnley, Lancashire",291.047619,131.952381,117.1904762,137.7447619,59.05,52.84857143,9.761904762,0.4285714286,False,0.0
Aarya Organic Blend 1,"Burnley, Lancashire",2023Q3,"EVOO Market - Burnley, Lancashire",291.047619,131.952381,117.1904762,137.7447619,59.83,52.84857143,9.761904762,0.4285714286,False,0.0
Aarya Organic Blend 1,"Burnley, Lancashire",2023Q3,"TastyHarvest - Burnley, Lancashire",291.047619,131.952381,117.1904762,137.7447619,59.27,52.84857143,9.761904762,0.4285714286,False,0.0
Aarya Organic Blend 1,"Burnley, Lancashire",2023Q3,"Nature's Drop - Burnley, Lancashire",291.047619,131.952381,117.1904762,137.7447619,59.02,52.84857143,9.761904762,0.4285714286,False,0.0
Aarya Organic Blend 1,"Glenrothes, Fife",2023Q3,"OliveBox - Glenrothes, Fife",273.1818182,128.3636364,80.13636364,133.8895455,60.16,53.505,10.45454545,0.4090909091,False,0.0
Aarya Organic Blend 1,"Glenrothes, Fife",2023Q3,"FineFoods - Glenrothes, Fife",273.1818182,128.3636364,80.13636364,133.8895455,60.44,53.505,10.45454545,0.4090909091,False,0.0
Aarya Organic Blend 1,"Glenrothes, Fife",2023Q3,"TastyHarvest - Glenrothes, Fife",273.1818182,128.3636364,80.13636364,133.8895455,59.02,53.505,10.45454545,0.4090909091,False,0.0
Aarya Organic Blend 1,"Glenrothes, Fife",2023Q3,"GoldenFields - Glenrothes, Fife",273.1818182,128.3636364,80.13636364,133.8895455,58.94,53.505,10.45454545,0.4090909091,False,0.0
Aarya Organic Blend 1,"Kensington and Chelsea, London",2023Q3,"GoldenFields - Kensington and Chelsea, London",240.6086957,103.5652174,115.0434783,108.9717391,59.56,54.47043478,11.52173913,0.5652173913,False,0.0
Aarya Organic Blend 1,"Kensington and Chelsea, London",2023Q3,"Nature's Drop - Kensington and Chelsea, London",240.6086957,103.5652174,115.0434783,108.9717391,59.11,54.47043478,11.52173913,0.5652173913,False,0.0
Aarya Organic Blend 1,"Kensington and Chelsea, London",2023Q3,"TastyHarvest - Kensington and Chelsea, London",240.6086957,103.5652174,115.0434783,108.9717391,60.66,54.47043478,11.52173913,0.5652173913,False,0.0
Aarya Organic Blend 1,"Oxford, Oxfordshire",2023Q3,"FineFoods - Oxford, Oxfordshire",288.375,118.625,118.6875,122.0125,59.36,53.49625,10.3125,0.3125,False,0.0
Aarya Organic Blend 1,"Oxford, Oxfordshire",2023Q3,"GoldenFields - Oxford, Oxfordshire",288.375,118.625,118.6875,122.0125,58.83,53.49625,10.3125,0.3125,False,0.0
Aarya Organic Blend 1,"Oxford, Oxfordshire",2023Q3,"EVOO Market - Oxford, Oxfordshire",288.375,118.625,118.6875,122.0125,59.71,53.49625,10.3125,0.3125,False,0.0
Aarya Organic Blend 1,"Oxford, Oxfordshire",2023Q3,"GreenPour - Oxford, Oxfordshire",288.375,118.625,118.6875,122.0125,60.02,53.49625,10.3125,0.3125,False,0.0
Aarya Organic Blend 1,"Bradford, West Yorkshire",2023Q4,"FineFoods - Bradford, West Yorkshire",301.9333333,135.7333333,114.7333333,136.8566667,60.52,53.09333333,10.33333333,0.6,False,0.0
Aarya Organic Blend 1,"Bradford, West Yorkshire",2023Q4,"Nature's Drop - Bradford, West Yorkshire",301.9333333,135.7333333,114.7333333,136.8566667,58.69,53.09333333,10.33333333,0.6,False,0.0
Aarya Organic Blend 1,"Bradford, West Yorkshire",2023Q4,"TastyHarvest - Bradford, West Yorkshire",301.9333333,135.7333333,114.7333333,136.8566667,59.6,53.09333333,10.33333333,0.6,False,0.0
Aarya Organic Blend 1,"Bradford, West Yorkshire",2023Q4,"OliveBox - Bradford, West Yorkshire",301.9333333,135.7333333,114.7333333,136.8566667,58.92,53.09333333,10.33333333,0.6,False,0.0
Aarya Organic Blend 1,"Burnley, Lancashire",2023Q4,"GoldenFields - Burnley, Lancashire",329.5882353,176.1176471,104.4117647,179.0741176,59.62,50.21294118,11.76470588,0.2941176471,False,0.0
Aarya Organic Blend 1,"Burnley, Lancashire",2023Q4,"Nature's Drop - Burnley, Lancashire",329.5882353,176.1176471,104.4117647,179.0741176,57.91,50.21294118,11.76470588,0.2941176471,False,0.0
Aarya Organic Blend 1,"Burnley, Lancashire",2023Q4,"TastyHarvest - Burnley, Lancashire",329.5882353,176.1176471,104.4117647,179.0741176,59.37,50.21294118,11.76470588,0.2941176471,False,0.0
Aarya Organic Blend 1,"Glenrothes, Fife",2023Q4,"OliveBox - Glenrothes, Fife",332.7647059,161.7058824,108.1764706,164.3770588,59.15,53.04470588,11.17647059,0.5882352941,False,0.0
Aarya Organic Blend 1,"Glenrothes, Fife",2023Q4,"Nature's Drop - Glenrothes, Fife",332.7647059,161.7058824,108.1764706,164.3770588,58.5,53.04470588,11.17647059,0.5882352941,False,0.0
Aarya Organic Blend 1,"Glenrothes, Fife",2023Q4,"EVOO Market - Glenrothes, Fife",332.7647059,161.7058824,108.1764706,164.3770588,57.94,53.04470588,11.17647059,0.5882352941,False,0.0
Aarya Organic Blend 1,"Glenrothes, Fife",2023Q4,"FineFoods - Glenrothes, Fife",332.7647059,161.7058824,108.1764706,164.3770588,59.25,53.04470588,11.17647059,0.5882352941,False,0.0
Aarya Organic Blend 1,"Kensington and Chelsea, London",2023Q4,"GreenPour - Kensington and Chelsea, London",255.5714286,97.38095238,122.6666667,102.8961905,58.47,54.78761905,6.904761905,0.4761904762,False,0.0
Aarya Organic Blend 1,"Kensington and Chelsea, London",2023Q4,"FineFoods - Kensington and Chelsea, London",255.5714286,97.38095238,122.6666667,102.8961905,57.62,54.78761905,6.904761905,0.4761904762,False,0.0
Aarya Organic Blend 1,"Kensington and Chelsea, London",2023Q4,"TastyHarvest - Kensington and Chelsea, London",255.5714286,97.38095238,122.6666667,102.8961905,58.97,54.78761905,6.904761905,0.4761904762,False,0.0
Aarya Organic Blend 1,"Kensington and Chelsea, London",2023Q4,"OliveBox - Kensington and Chelsea, London",255.5714286,97.38095238,122.6666667,102.8961905,59.53,54.78761905,6.904761905,0.4761904762,False,0.0
Aarya Organic Blend 1,"Kensington and Chelsea, London",2023Q4,"Nature's Drop - Kensington and Chelsea, London",255.5714286,97.38095238,122.6666667,102.8961905,58.22,54.78761905,6.904761905,0.4761904762,False,0.0
Aarya Organic Blend 1,"Oxford, Oxfordshire",2023Q4,"TastyHarvest - Oxford, Oxfordshire",275.7894737,111.6315789,115.0,116.1136842,57.67,55.48842105,11.84210526,0.5789473684,False,0.0
